year,country,value
1980,canada,27622.3734030629
1980,france,23050.9255953042
1980,germany,23977.2698576818
1980,italy,21901.9268708549
1980,japan,19334.3747441799
1980,uk,23526.2555043517
1980,usa,31081.62163338
1981,canada,28215.530855259
1981,france,23186.7612665684
1981,germany,24067.4825489522
1981,italy,22060.3287067697
1981,japan,20011.8292508515
1981,uk,23332.8025676938
1981,usa,31559.1293373937
1982,canada,26999.079084851
1982,france,23666.5121788084
1982,germany,23995.2661838189
1982,italy,22135.1628545397
1982,japan,20525.2958514217
1982,uk,23806.7980916528
1982,usa,30696.0834358718
1983,canada,27418.4916111044
1983,france,23836.4018927227
1983,germany,24436.5473264161
1983,italy,22385.8416028019
1983,japan,21122.9648423607
1983,uk,24803.4271519669
1983,usa,31810.9216083487
1984,canada,28762.9722015849
1984,france,24102.0176176027
1984,germany,25213.38204825
1984,italy,23102.8115427941
1984,japan,21912.1518618966
1984,uk,25326.1296660232
1984,usa,33818.8235524677
1985,canada,29851.6432940057
1985,france,24358.1382748825
1985,germany,25858.0588621429
1985,italy,23742.3854949723
1985,japan,22898.9942415029
1985,uk,26316.7154348235
1985,usa,34918.1302027193
1986,canada,30183.4087940958
1986,france,24813.0302579158
1986,germany,26437.4177349407
1986,italy,24420.0802858599
1986,japan,23527.7125188746
1986,uk,27082.9819543398
1986,usa,35794.8877745985
1987,canada,31001.1298465676
1987,france,25308.620924146
1987,germany,26766.9600591944
1987,italy,25196.9881183266
1987,japan,24503.0845657844
1987,uk,28482.8666757154
1987,usa,36701.9453883904
1988,canada,31951.5504658265
1988,france,26374.1221811161
1988,germany,27651.0362699101
1988,italy,26241.1619056876
1988,japan,26026.8648821365
1988,uk,30048.820666255
1988,usa,37889.3773472194
1989,canada,32116.9233234971
1989,france,27372.0534763161
1989,germany,28507.1621309974
1989,italy,27109.970559768
1989,japan,27199.9399695936
1989,uk,30743.2275250086
1989,usa,38911.5418949927
1990,canada,31700.5462613508
1990,france,27992.9751471374
1990,germany,29747.6909354385
1990,italy,27625.1792306413
1990,japan,28422.2131194472
1990,uk,30876.3706404357
1990,usa,39200.0658103964
1991,canada,30654.3331550624
1991,france,28197.2359540607
1991,germany,31040.2935634693
1991,italy,28030.7653841073
1991,japan,29308.2740881269
1991,uk,30441.4813420211
1991,usa,38637.8398159491
1992,canada,30563.3788132238
1992,france,28482.5194675509
1992,germany,31425.6476019368
1992,italy,28245.4271054692
1992,japan,29462.6539671073
1992,uk,30481.0348883355
1992,usa,39447.9472847522
1993,canada,31032.7546058282
1993,france,28257.0962487817
1993,germany,30915.8728850114
1993,italy,27987.4328969281
1993,japan,29232.4397928009
1993,uk,31165.1544491287
1993,usa,40002.4762262205
1994,canada,32074.1562636226
1994,france,28822.5006495069
1994,germany,31609.1102824496
1994,italy,28583.6255328648
1994,japan,29466.7552451648
1994,uk,32281.4801601039
1994,usa,41106.9881841375
1995,canada,32595.4515150443
1995,france,29379.6158424052
1995,germany,31990.7949834569
1995,italy,29408.3209572297
1995,japan,30171.1637924153
1995,uk,33011.2945663233
1995,usa,41710.8207239918
1996,canada,32801.3018574024
1996,france,29683.7786067651
1996,germany,32229.4778712612
1996,italy,29795.6597750915
1996,japan,31046.1701544217
1996,uk,33777.5280810971
1996,usa,42783.8165710653
1997,canada,33867.0079071879
1997,france,30325.522871824
1997,germany,32779.2802466297
1997,italy,30353.3778243995
1997,japan,31276.1930771989
1997,uk,35349.7906380412
1997,usa,44151.6860411494
1998,canada,34894.6134264056
1998,france,31256.5073830655
1998,germany,33461.3192177074
1998,italy,30892.1758654455
1998,japan,30795.0888900919
1998,uk,36446.2616767045
1998,usa,45596.4306860229
1999,canada,36391.535343959
1999,france,32152.7207478734
1999,germany,34152.0032259735
1999,italy,31405.2609007683
1999,japan,30636.2661169604
1999,uk,37435.884438888
1999,usa,47234.2455275781
2000,canada,37906.8601321366
2000,france,33255.1379642335
2000,germany,35087.0891588694
2000,italy,32609.66746283
2000,japan,31430.631130325
2000,uk,38921.896573883
2000,usa,48616.2546267835
2001,canada,38200.456120621
2001,france,33640.6738002565
2001,germany,35601.3628316391
2001,italy,33243.599343976
2001,japan,31476.0520665746
2001,uk,39769.8719792093
2001,usa,48597.4246130164
2002,canada,38921.6673033743
2002,france,33753.5782979758
2002,germany,35460.4121391449
2002,italy,33267.4474482048
2002,japan,31416.1241772309
2002,uk,40312.9824110757
2002,usa,48967.3661209521
2003,canada,39270.0234577749
2003,france,33840.6175720101
2003,germany,35252.9745130135
2003,italy,33110.1698494812
2003,japan,31830.217584972
2003,uk,41390.6062127939
2003,usa,49905.5233079503
2004,canada,40108.7587456658
